Amount Effective from January to March 2020/Montant en vigueur en janvier à mars 2020,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) À ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"10,032.00","10,047.99",799.38,"1,412.91"
"10,048.00","10,079.99",798.38,"1,411.91"
"10,080.00","10,127.99",797.38,"1,410.91"
"10,128.00","10,143.99",796.38,"1,409.91"
"10,144.00","10,175.99",795.38,"1,408.91"
"10,176.00","10,223.99",794.38,"1,407.91"
"10,224.00","10,239.99",793.38,"1,406.91"
"10,240.00","10,271.99",792.38,"1,405.91"
"10,272.00","10,319.99",791.38,"1,404.91"
"10,320.00","10,335.99",790.38,"1,403.91"
"10,336.00","10,367.99",789.38,"1,402.91"
"10,368.00","10,415.99",788.38,"1,401.91"
"10,416.00","10,431.99",787.38,"1,400.91"
"10,432.00","10,463.99",786.38,"1,399.91"
"10,464.00","10,511.99",785.38,"1,398.91"
"10,512.00","10,527.99",784.38,"1,397.91"
"10,528.00","10,559.99",783.38,"1,396.91"
"10,560.00","10,607.99",782.38,"1,395.91"
"10,608.00","10,623.99",781.38,"1,394.91"
"10,624.00","10,655.99",780.38,"1,393.91"
"10,656.00","10,703.99",779.38,"1,392.91"
"10,704.00","10,719.99",778.38,"1,391.91"
"10,720.00","10,751.99",777.38,"1,390.91"
"10,752.00","10,799.99",776.38,"1,389.91"
"10,800.00","10,815.99",775.38,"1,388.91"
"10,816.00","10,847.99",774.38,"1,387.91"
"10,848.00","10,895.99",773.38,"1,386.91"
"10,896.00","10,911.99",772.38,"1,385.91"
"10,912.00","10,943.99",771.38,"1,384.91"
"10,944.00","10,991.99",770.38,"1,383.91"
"10,992.00","11,007.99",769.38,"1,382.91"
"11,008.00","11,039.99",768.38,"1,381.91"
"11,040.00","11,087.99",767.38,"1,380.91"
"11,088.00","11,103.99",766.38,"1,379.91"
"11,104.00","11,135.99",765.38,"1,378.91"
