Amount Effective from October to December 2021/Montant en vigueur en octobre à décembre 2021,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) À ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"10,176.00","10,223.99",831.82,"1,467.08"
"10,224.00","10,239.99",830.82,"1,466.08"
"10,240.00","10,271.99",829.82,"1,465.08"
"10,272.00","10,319.99",828.82,"1,464.08"
"10,320.00","10,335.99",827.82,"1,463.08"
"10,336.00","10,367.99",826.82,"1,462.08"
"10,368.00","10,415.99",825.82,"1,461.08"
"10,416.00","10,431.99",824.82,"1,460.08"
"10,432.00","10,463.99",823.82,"1,459.08"
"10,464.00","10,511.99",822.82,"1,458.08"
"10,512.00","10,527.99",821.82,"1,457.08"
"10,528.00","10,559.99",820.82,"1,456.08"
"10,560.00","10,607.99",819.82,"1,455.08"
"10,608.00","10,623.99",818.82,"1,454.08"
"10,624.00","10,655.99",817.82,"1,453.08"
"10,656.00","10,703.99",816.82,"1,452.08"
"10,704.00","10,719.99",815.82,"1,451.08"
"10,720.00","10,751.99",814.82,"1,450.08"
"10,752.00","10,799.99",813.82,"1,449.08"
"10,800.00","10,815.99",812.82,"1,448.08"
"10,816.00","10,847.99",811.82,"1,447.08"
"10,848.00","10,895.99",810.82,"1,446.08"
"10,896.00","10,911.99",809.82,"1,445.08"
"10,912.00","10,943.99",808.82,"1,444.08"
"10,944.00","10,991.99",807.82,"1,443.08"
"10,992.00","11,007.99",806.82,"1,442.08"
"11,008.00","11,039.99",805.82,"1,441.08"
"11,040.00","11,087.99",804.82,"1,440.08"
"11,088.00","11,103.99",803.82,"1,439.08"
"11,104.00","11,135.99",802.82,"1,438.08"
"11,136.00","11,183.99",801.82,"1,437.08"
"11,184.00","11,199.99",800.82,"1,436.08"
"11,200.00","11,231.99",799.82,"1,435.08"
"11,232.00","11,279.99",798.82,"1,434.08"
"11,280.00","11,295.99",797.82,"1,433.08"
"11,296.00","11,327.99",796.82,"1,432.08"
"11,328.00","11,375.99",795.82,"1,431.08"
"11,376.00","11,391.99",794.82,"1,430.08"
"11,392.00","11,423.99",793.82,"1,429.08"
"11,424.00","11,471.99",792.82,"1,428.08"
"11,472.00","11,487.99",791.82,"1,427.08"
"11,488.00","11,519.99",790.82,"1,426.08"
"11,520.00","11,567.99",789.82,"1,425.08"
"11,568.00","11,583.99",788.82,"1,424.08"
"11,584.00","11,615.99",787.82,"1,423.08"
"11,616.00","11,663.99",786.82,"1,422.08"
"11,664.00","11,679.99",785.82,"1,421.08"
"11,680.00","11,711.99",784.82,"1,420.08"
"11,712.00","11,759.99",783.82,"1,419.08"
"11,760.00","11,775.99",782.82,"1,418.08"
"11,776.00","11,807.99",781.82,"1,417.08"
"11,808.00","11,855.99",780.82,"1,416.08"
"11,856.00","11,871.99",779.82,"1,415.08"
"11,872.00","11,903.99",778.82,"1,414.08"
"11,904.00","11,951.99",777.82,"1,413.08"
"11,952.00","11,967.99",776.82,"1,412.08"
"11,968.00","11,999.99",775.82,"1,411.08"
"12,000.00","12,047.99",774.82,"1,410.08"
"12,048.00","12,063.99",773.82,"1,409.08"
"12,064.00","12,095.99",772.82,"1,408.08"
"12,096.00","12,143.99",771.82,"1,407.08"
"12,144.00","12,159.99",770.82,"1,406.08"
"12,160.00","12,191.99",769.82,"1,405.08"
"12,192.00","12,239.99",768.82,"1,404.08"
"12,240.00","12,255.99",767.82,"1,403.08"
"12,256.00","12,287.99",766.82,"1,402.08"
"12,288.00","12,335.99",765.82,"1,401.08"
"12,336.00","12,351.99",764.82,"1,400.08"
"12,352.00","12,383.99",763.82,"1,399.08"
"12,384.00","12,431.99",762.82,"1,398.08"
"12,432.00","12,447.99",761.82,"1,397.08"
"12,448.00","12,479.99",760.82,"1,396.08"
"12,480.00","12,527.99",759.82,"1,395.08"
"12,528.00","12,543.99",758.82,"1,394.08"
"12,544.00","12,575.99",757.82,"1,393.08"
"12,576.00","12,623.99",756.82,"1,392.08"
"12,624.00","12,639.99",755.82,"1,391.08"
"12,640.00","12,671.99",754.82,"1,390.08"
"12,672.00","12,719.99",753.82,"1,389.08"
"12,720.00","12,735.99",752.82,"1,388.08"
"12,736.00","12,767.99",751.82,"1,387.08"
"12,768.00","12,815.99",750.82,"1,386.08"
"12,816.00","12,831.99",749.82,"1,385.08"
"12,832.00","12,863.99",748.82,"1,384.08"
"12,864.00","12,911.99",747.82,"1,383.08"
"12,912.00","12,927.99",746.82,"1,382.08"
"12,928.00","12,959.99",745.82,"1,381.08"
"12,960.00","13,007.99",744.82,"1,380.08"
"13,008.00","13,023.99",743.82,"1,379.08"
"13,024.00","13,055.99",742.82,"1,378.08"
"13,056.00","13,103.99",741.82,"1,377.08"
"13,104.00","13,119.99",740.82,"1,376.08"
"13,120.00","13,151.99",739.82,"1,375.08"
"13,152.00","13,199.99",738.82,"1,374.08"
"13,200.00","13,215.99",737.82,"1,373.08"
"13,216.00","13,247.99",736.82,"1,372.08"
"13,248.00","13,295.99",735.82,"1,371.08"
"13,296.00","13,311.99",734.82,"1,370.08"
"13,312.00","13,343.99",733.82,"1,369.08"
"13,344.00","13,391.99",732.82,"1,368.08"
"13,392.00","13,407.99",731.82,"1,367.08"
"13,408.00","13,439.99",730.82,"1,366.08"
"13,440.00","13,487.99",729.82,"1,365.08"
"13,488.00","13,503.99",728.82,"1,364.08"
"13,504.00","13,535.99",727.82,"1,363.08"
"13,536.00","13,583.99",726.82,"1,362.08"
"13,584.00","13,599.99",725.82,"1,361.08"
"13,600.00","13,631.99",724.82,"1,360.08"
"13,632.00","13,679.99",723.82,"1,359.08"
"13,680.00","13,695.99",722.82,"1,358.08"
"13,696.00","13,727.99",721.82,"1,357.08"
"13,728.00","13,775.99",720.82,"1,356.08"
"13,776.00","13,791.99",719.82,"1,355.08"
"13,792.00","13,823.99",718.82,"1,354.08"
"13,824.00","13,871.99",717.82,"1,353.08"
"13,872.00","13,887.99",716.82,"1,352.08"
"13,888.00","13,919.99",715.82,"1,351.08"
"13,920.00","13,967.99",714.82,"1,350.08"
"13,968.00","13,983.99",713.82,"1,349.08"
"13,984.00","14,015.99",712.82,"1,348.08"
"14,016.00","14,063.99",711.82,"1,347.08"
"14,064.00","14,079.99",710.82,"1,346.08"
"14,080.00","14,111.99",709.82,"1,345.08"
"14,112.00","14,159.99",708.82,"1,344.08"
"14,160.00","14,175.99",707.82,"1,343.08"
"14,176.00","14,207.99",706.82,"1,342.08"
"14,208.00","14,255.99",705.82,"1,341.08"
"14,256.00","14,271.99",704.82,"1,340.08"
"14,272.00","14,303.99",703.82,"1,339.08"
"14,304.00","14,351.99",702.82,"1,338.08"
"14,352.00","14,367.99",701.82,"1,337.08"
"14,368.00","14,399.99",700.82,"1,336.08"
"14,400.00","14,447.99",699.82,"1,335.08"
"14,448.00","14,463.99",698.82,"1,334.08"
"14,464.00","14,495.99",697.82,"1,333.08"
"14,496.00","14,543.99",696.82,"1,332.08"
"14,544.00","14,559.99",695.82,"1,331.08"
"14,560.00","14,591.99",694.82,"1,330.08"
"14,592.00","14,639.99",693.82,"1,329.08"
"14,640.00","14,655.99",692.82,"1,328.08"
