Amount Effective from July to September 2019/Montant en vigueur en juillet à septembre 2019,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) À ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"9,952.00","9,983.99",790.3,"1,397.76"
"9,984.00","10,031.99",789.3,"1,396.76"
"10,032.00","10,047.99",788.3,"1,395.76"
"10,048.00","10,079.99",787.3,"1,394.76"
"10,080.00","10,127.99",786.3,"1,393.76"
"10,128.00","10,143.99",785.3,"1,392.76"
"10,144.00","10,175.99",784.3,"1,391.76"
"10,176.00","10,223.99",783.3,"1,390.76"
"10,224.00","10,239.99",782.3,"1,389.76"
"10,240.00","10,271.99",781.3,"1,388.76"
"10,272.00","10,319.99",780.3,"1,387.76"
"10,320.00","10,335.99",779.3,"1,386.76"
"10,336.00","10,367.99",778.3,"1,385.76"
"10,368.00","10,415.99",777.3,"1,384.76"
"10,416.00","10,431.99",776.3,"1,383.76"
"10,432.00","10,463.99",775.3,"1,382.76"
"10,464.00","10,511.99",774.3,"1,381.76"
"10,512.00","10,527.99",773.3,"1,380.76"
"10,528.00","10,559.99",772.3,"1,379.76"
"10,560.00","10,607.99",771.3,"1,378.76"
"10,608.00","10,623.99",770.3,"1,377.76"
"10,624.00","10,655.99",769.3,"1,376.76"
"10,656.00","10,703.99",768.3,"1,375.76"
"10,704.00","10,719.99",767.3,"1,374.76"
"10,720.00","10,751.99",766.3,"1,373.76"
"10,752.00","10,799.99",765.3,"1,372.76"
"10,800.00","10,815.99",764.3,"1,371.76"
"10,816.00","10,847.99",763.3,"1,370.76"
"10,848.00","10,895.99",762.3,"1,369.76"
"10,896.00","10,911.99",761.3,"1,368.76"
"10,912.00","10,943.99",760.3,"1,367.76"
"10,944.00","10,991.99",759.3,"1,366.76"
"10,992.00","11,007.99",758.3,"1,365.76"
"11,008.00","11,039.99",757.3,"1,364.76"
"11,040.00","11,087.99",756.3,"1,363.76"
"11,088.00","11,103.99",755.3,"1,362.76"
"11,104.00","11,135.99",754.3,"1,361.76"
"11,136.00","11,183.99",753.3,"1,360.76"
"11,184.00","11,199.99",752.3,"1,359.76"
"11,200.00","11,231.99",751.3,"1,358.76"
"11,232.00","11,279.99",750.3,"1,357.76"
"11,280.00","11,295.99",749.3,"1,356.76"
"11,296.00","11,327.99",748.3,"1,355.76"
"11,328.00","11,375.99",747.3,"1,354.76"
"11,376.00","11,391.99",746.3,"1,353.76"
"11,392.00","11,423.99",745.3,"1,352.76"
"11,424.00","11,471.99",744.3,"1,351.76"
"11,472.00","11,487.99",743.3,"1,350.76"
"11,488.00","11,519.99",742.3,"1,349.76"
"11,520.00","11,567.99",741.3,"1,348.76"
"11,568.00","11,583.99",740.3,"1,347.76"
"11,584.00","11,615.99",739.3,"1,346.76"
"11,616.00","11,663.99",738.3,"1,345.76"
"11,664.00","11,679.99",737.3,"1,344.76"
"11,680.00","11,711.99",736.3,"1,343.76"
"11,712.00","11,759.99",735.3,"1,342.76"
"11,760.00","11,775.99",734.3,"1,341.76"
"11,776.00","11,807.99",733.3,"1,340.76"
"11,808.00","11,855.99",732.3,"1,339.76"
"11,856.00","11,871.99",731.3,"1,338.76"
"11,872.00","11,903.99",730.3,"1,337.76"
"11,904.00","11,951.99",729.3,"1,336.76"
"11,952.00","11,967.99",728.3,"1,335.76"
"11,968.00","11,999.99",727.3,"1,334.76"
"12,000.00","12,047.99",726.3,"1,333.76"
"12,048.00","12,063.99",725.3,"1,332.76"
"12,064.00","12,095.99",724.3,"1,331.76"
"12,096.00","12,143.99",723.3,"1,330.76"
"12,144.00","12,159.99",722.3,"1,329.76"
"12,160.00","12,191.99",721.3,"1,328.76"
"12,192.00","12,239.99",720.3,"1,327.76"
"12,240.00","12,255.99",719.3,"1,326.76"
"12,256.00","12,287.99",718.3,"1,325.76"
"12,288.00","12,335.99",717.3,"1,324.76"
"12,336.00","12,351.99",716.3,"1,323.76"
"12,352.00","12,383.99",715.3,"1,322.76"
"12,384.00","12,431.99",714.3,"1,321.76"
"12,432.00","12,447.99",713.3,"1,320.76"
"12,448.00","12,479.99",712.3,"1,319.76"
"12,480.00","12,527.99",711.3,"1,318.76"
"12,528.00","12,543.99",710.3,"1,317.76"
"12,544.00","12,575.99",709.3,"1,316.76"
"12,576.00","12,623.99",708.3,"1,315.76"
"12,624.00","12,639.99",707.3,"1,314.76"
"12,640.00","12,671.99",706.3,"1,313.76"
"12,672.00","12,719.99",705.3,"1,312.76"
"12,720.00","12,735.99",704.3,"1,311.76"
"12,736.00","12,767.99",703.3,"1,310.76"
"12,768.00","12,815.99",702.3,"1,309.76"
