Amount Effective from April to June 2022/Montant en vigueur en avril à juin 2022,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Monthly GIS with Maximum OAS Pension for each recipient ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) · ($),SRG mensuel pour montant maximal de la pension de la SV pour chaque b‚n‚ficiaire ($),Total mensuel de la pension de la SV et du SRG ($)
"5,232.00","5,247.99",462.20,"1,110.87"
"5,248.00","5,279.99",461.20,"1,109.87"
"5,280.00","5,327.99",460.20,"1,108.87"
"5,328.00","5,343.99",459.20,"1,107.87"
"5,344.00","5,375.99",458.20,"1,106.87"
"5,376.00","5,423.99",457.20,"1,105.87"
"5,424.00","5,439.99",456.20,"1,104.87"
"5,440.00","5,471.99",455.20,"1,103.87"
"5,472.00","5,519.99",454.20,"1,102.87"
"5,520.00","5,535.99",453.20,"1,101.87"
"5,536.00","5,567.99",452.20,"1,100.87"
"5,568.00","5,615.99",451.20,"1,099.87"
"5,616.00","5,631.99",450.20,"1,098.87"
"5,632.00","5,663.99",449.20,"1,097.87"
"5,664.00","5,711.99",448.20,"1,096.87"
"5,712.00","5,727.99",447.20,"1,095.87"
"5,728.00","5,759.99",446.20,"1,094.87"
"5,760.00","5,807.99",445.20,"1,093.87"
"5,808.00","5,823.99",444.20,"1,092.87"
"5,824.00","5,855.99",443.20,"1,091.87"
"5,856.00","5,903.99",442.20,"1,090.87"
"5,904.00","5,919.99",441.20,"1,089.87"
"5,920.00","5,951.99",440.20,"1,088.87"
"5,952.00","5,999.99",439.20,"1,087.87"
"6,000.00","6,015.99",438.20,"1,086.87"
"6,016.00","6,047.99",437.20,"1,085.87"
"6,048.00","6,095.99",436.20,"1,084.87"
"6,096.00","6,111.99",435.20,"1,083.87"
"6,112.00","6,143.99",434.20,"1,082.87"
"6,144.00","6,191.99",433.20,"1,081.87"
"6,192.00","6,207.99",432.20,"1,080.87"
"6,208.00","6,239.99",431.20,"1,079.87"
"6,240.00","6,287.99",430.20,"1,078.87"
"6,288.00","6,303.99",429.20,"1,077.87"
"6,304.00","6,335.99",428.20,"1,076.87"
"6,336.00","6,383.99",427.20,"1,075.87"
"6,384.00","6,399.99",426.20,"1,074.87"
"6,400.00","6,431.99",425.20,"1,073.87"
"6,432.00","6,479.99",424.20,"1,072.87"
"6,480.00","6,495.99",423.20,"1,071.87"
"6,496.00","6,527.99",422.20,"1,070.87"
