Amount Effective from April to June 2022/Montant en vigueur en avril à juin 2022,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) À ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"10,320.00","10,335.99",851.86,"1,500.53"
"10,336.00","10,367.99",850.86,"1,499.53"
"10,368.00","10,415.99",849.86,"1,498.53"
"10,416.00","10,431.99",848.86,"1,497.53"
"10,432.00","10,463.99",847.86,"1,496.53"
"10,464.00","10,511.99",846.86,"1,495.53"
"10,512.00","10,527.99",845.86,"1,494.53"
"10,528.00","10,559.99",844.86,"1,493.53"
"10,560.00","10,607.99",843.86,"1,492.53"
"10,608.00","10,623.99",842.86,"1,491.53"
"10,624.00","10,655.99",841.86,"1,490.53"
"10,656.00","10,703.99",840.86,"1,489.53"
"10,704.00","10,719.99",839.86,"1,488.53"
"10,720.00","10,751.99",838.86,"1,487.53"
"10,752.00","10,799.99",837.86,"1,486.53"
"10,800.00","10,815.99",836.86,"1,485.53"
"10,816.00","10,847.99",835.86,"1,484.53"
"10,848.00","10,895.99",834.86,"1,483.53"
"10,896.00","10,911.99",833.86,"1,482.53"
"10,912.00","10,943.99",832.86,"1,481.53"
"10,944.00","10,991.99",831.86,"1,480.53"
"10,992.00","11,007.99",830.86,"1,479.53"
"11,008.00","11,039.99",829.86,"1,478.53"
"11,040.00","11,087.99",828.86,"1,477.53"
"11,088.00","11,103.99",827.86,"1,476.53"
"11,104.00","11,135.99",826.86,"1,475.53"
"11,136.00","11,183.99",825.86,"1,474.53"
"11,184.00","11,199.99",824.86,"1,473.53"
"11,200.00","11,231.99",823.86,"1,472.53"
"11,232.00","11,279.99",822.86,"1,471.53"
"11,280.00","11,295.99",821.86,"1,470.53"
"11,296.00","11,327.99",820.86,"1,469.53"
"11,328.00","11,375.99",819.86,"1,468.53"
"11,376.00","11,391.99",818.86,"1,467.53"
"11,392.00","11,423.99",817.86,"1,466.53"
"11,424.00","11,471.99",816.86,"1,465.53"
"11,472.00","11,487.99",815.86,"1,464.53"
"11,488.00","11,519.99",814.86,"1,463.53"
"11,520.00","11,567.99",813.86,"1,462.53"
"11,568.00","11,583.99",812.86,"1,461.53"
"11,584.00","11,615.99",811.86,"1,460.53"
"11,616.00","11,663.99",810.86,"1,459.53"
"11,664.00","11,679.99",809.86,"1,458.53"
"11,680.00","11,711.99",808.86,"1,457.53"
"11,712.00","11,759.99",807.86,"1,456.53"
"11,760.00","11,775.99",806.86,"1,455.53"
"11,776.00","11,807.99",805.86,"1,454.53"
"11,808.00","11,855.99",804.86,"1,453.53"
"11,856.00","11,871.99",803.86,"1,452.53"
"11,872.00","11,903.99",802.86,"1,451.53"
"11,904.00","11,951.99",801.86,"1,450.53"
"11,952.00","11,967.99",800.86,"1,449.53"
"11,968.00","11,999.99",799.86,"1,448.53"
"12,000.00","12,047.99",798.86,"1,447.53"
"12,048.00","12,063.99",797.86,"1,446.53"
"12,064.00","12,095.99",796.86,"1,445.53"
"12,096.00","12,143.99",795.86,"1,444.53"
"12,144.00","12,159.99",794.86,"1,443.53"
"12,160.00","12,191.99",793.86,"1,442.53"
"12,192.00","12,239.99",792.86,"1,441.53"
"12,240.00","12,255.99",791.86,"1,440.53"
"12,256.00","12,287.99",790.86,"1,439.53"
"12,288.00","12,335.99",789.86,"1,438.53"
"12,336.00","12,351.99",788.86,"1,437.53"
"12,352.00","12,383.99",787.86,"1,436.53"
"12,384.00","12,431.99",786.86,"1,435.53"
"12,432.00","12,447.99",785.86,"1,434.53"
"12,448.00","12,479.99",784.86,"1,433.53"
"12,480.00","12,527.99",783.86,"1,432.53"
"12,528.00","12,543.99",782.86,"1,431.53"
"12,544.00","12,575.99",781.86,"1,430.53"
"12,576.00","12,623.99",780.86,"1,429.53"
"12,624.00","12,639.99",779.86,"1,428.53"
"12,640.00","12,671.99",778.86,"1,427.53"
"12,672.00","12,719.99",777.86,"1,426.53"
"12,720.00","12,735.99",776.86,"1,425.53"
"12,736.00","12,767.99",775.86,"1,424.53"
"12,768.00","12,815.99",774.86,"1,423.53"
"12,816.00","12,831.99",773.86,"1,422.53"
"12,832.00","12,863.99",772.86,"1,421.53"
"12,864.00","12,911.99",771.86,"1,420.53"
"12,912.00","12,927.99",770.86,"1,419.53"
"12,928.00","12,959.99",769.86,"1,418.53"
"12,960.00","13,007.99",768.86,"1,417.53"
"13,008.00","13,023.99",767.86,"1,416.53"
"13,024.00","13,055.99",766.86,"1,415.53"
"13,056.00","13,103.99",765.86,"1,414.53"
"13,104.00","13,119.99",764.86,"1,413.53"
"13,120.00","13,151.99",763.86,"1,412.53"
"13,152.00","13,199.99",762.86,"1,411.53"
"13,200.00","13,215.99",761.86,"1,410.53"
"13,216.00","13,247.99",760.86,"1,409.53"
"13,248.00","13,295.99",759.86,"1,408.53"
"13,296.00","13,311.99",758.86,"1,407.53"
"13,312.00","13,343.99",757.86,"1,406.53"
"13,344.00","13,391.99",756.86,"1,405.53"
"13,392.00","13,407.99",755.86,"1,404.53"
"13,408.00","13,439.99",754.86,"1,403.53"
"13,440.00","13,487.99",753.86,"1,402.53"
"13,488.00","13,503.99",752.86,"1,401.53"
"13,504.00","13,535.99",751.86,"1,400.53"
"13,536.00","13,583.99",750.86,"1,399.53"
"13,584.00","13,599.99",749.86,"1,398.53"
"13,600.00","13,631.99",748.86,"1,397.53"
"13,632.00","13,679.99",747.86,"1,396.53"
"13,680.00","13,695.99",746.86,"1,395.53"
"13,696.00","13,727.99",745.86,"1,394.53"
"13,728.00","13,775.99",744.86,"1,393.53"
"13,776.00","13,791.99",743.86,"1,392.53"
"13,792.00","13,823.99",742.86,"1,391.53"
"13,824.00","13,871.99",741.86,"1,390.53"
"13,872.00","13,887.99",740.86,"1,389.53"
"13,888.00","13,919.99",739.86,"1,388.53"
"13,920.00","13,967.99",738.86,"1,387.53"
"13,968.00","13,983.99",737.86,"1,386.53"
"13,984.00","14,015.99",736.86,"1,385.53"
"14,016.00","14,063.99",735.86,"1,384.53"
"14,064.00","14,079.99",734.86,"1,383.53"
"14,080.00","14,111.99",733.86,"1,382.53"
"14,112.00","14,159.99",732.86,"1,381.53"
"14,160.00","14,175.99",731.86,"1,380.53"
"14,176.00","14,207.99",730.86,"1,379.53"
"14,208.00","14,255.99",729.86,"1,378.53"
"14,256.00","14,271.99",728.86,"1,377.53"
"14,272.00","14,303.99",727.86,"1,376.53"
"14,304.00","14,351.99",726.86,"1,375.53"
"14,352.00","14,367.99",725.86,"1,374.53"
"14,368.00","14,399.99",724.86,"1,373.53"
"14,400.00","14,447.99",723.86,"1,372.53"
"14,448.00","14,463.99",722.86,"1,371.53"
"14,464.00","14,495.99",721.86,"1,370.53"
"14,496.00","14,543.99",720.86,"1,369.53"
"14,544.00","14,559.99",719.86,"1,368.53"
"14,560.00","14,591.99",718.86,"1,367.53"
"14,592.00","14,639.99",717.86,"1,366.53"
"14,640.00","14,655.99",716.86,"1,365.53"
"14,656.00","14,687.99",715.86,"1,364.53"
"14,688.00","14,735.99",714.86,"1,363.53"
"14,736.00","14,751.99",713.86,"1,362.53"
"14,752.00","14,783.99",712.86,"1,361.53"
"14,784.00","14,831.99",711.86,"1,360.53"
"14,832.00","14,847.99",710.86,"1,359.53"
"14,848.00","14,879.99",709.86,"1,358.53"
